Date,Total Stakes,Total Paid,Profit
Σάββατο 17/12/2022,"521,060.00€","25,634.00€","495,426.00€"
Τετάρτη 14/12/2022,"456,160.00€","7,885.00€","448,275.00€"
Σάββατο 10/12/2022,"476,571.00€","9,989.00€","466,582.00€"
Τετάρτη 07/12/2022,"410,277.00€","19,504.00€","390,773.00€"
Σάββατο 03/12/2022,"422,774.00€","10,023.00€","412,751.00€"
Τετάρτη 30/11/2022,"385,899.00€","9,340.00€","376,559.00€"
Σάββατο 26/11/2022,"395,812.00€","22,183.00€","373,629.00€"
Τετάρτη 23/11/2022,"353,506.00€","9,783.00€","343,723.00€"
Σάββατο 19/11/2022,"381,210.00€","7,080.00€","374,130.00€"
Τετάρτη 16/11/2022,"358,029.00€","18,730.00€","339,299.00€"
Σάββατο 12/11/2022,"375,721.00€","6,877.00€","368,844.00€"
Τετάρτη 09/11/2022,"350,657.00€","6,677.00€","343,980.00€"
Σάββατο 05/11/2022,"379,966.00€","6,150.00€","373,816.00€"
Τετάρτη 02/11/2022,"360,138.00€","5,770.00€","354,368.00€"
Σάββατο 29/10/2022,"359,412.00€","6,705.00€","352,707.00€"
Τετάρτη 26/10/2022,"363,519.00€","19,801.00€","343,718.00€"
Σάββατο 22/10/2022,"363,965.00€","8,007.00€","355,958.00€"
Τετάρτη 19/10/2022,"339,252.00€","5,432.00€","333,820.00€"
Σάββατο 15/10/2022,"361,851.00€","5,440.00€","356,411.00€"
Τετάρτη 12/10/2022,"341,609.00€","6,795.00€","334,814.00€"
Σάββατο 08/10/2022,"360,465.00€","5,313.00€","355,152.00€"
Τετάρτη 05/10/2022,"337,755.00€","5,670.00€","332,085.00€"
Σάββατο 01/10/2022,"377,691.00€","6,251.00€","371,440.00€"
Τετάρτη 28/09/2022,"353,737.00€","6,817.00€","346,920.00€"
Σάββατο 24/09/2022,"352,889.00€","18,742.00€","334,147.00€"
Τετάρτη 21/09/2022,"334,865.00€","6,637.00€","328,228.00€"
Σάββατο 17/09/2022,"350,428.00€","5,954.00€","344,474.00€"
Τετάρτη 14/09/2022,"335,171.00€","8,121.00€","327,050.00€"
